b0/d,w/b,d_g/d_g0,f_c',p,f_y/f_c,V_f,t_p,,
8.210526316,0.4,2.5,31.7 ,1.55%,12.61197224,0,3.126367683,,
8.210526316,0.4,2.5,34.5 ,1.55%,11.60301446,0.61,3.126367683,,
8.210526316,0.4,2.5,37.2 ,1.55%,10.74353191,0.61,3.721866289,,
8.210526316,0.4,2.5,29.6 ,1.55%,13.49187728,0.61,2.381994425,,
8.210526316,0.4,2.5,37.6 ,1.55%,10.62547112,0.92,3.572991638,,
8.210526316,0.4,2.5,46.7 ,1.55%,8.556795327,1.22,4.466239547,,
8.210526316,0.4,2.5,36.5 ,1.55%,10.94624006,1.22,3.870740941,,
8.210526316,0.4,2.5,22.3 ,1.55%,17.90588652,1.84,3.275242334,,
8.210526316,0.4,2.5,22.1 ,1.55%,18.1297101,1.93,3.424116986,,
22.34441642,0.4,0.625,46.2,1.05%,12.12121212,0.31,2.014339063,,
22.34441642,0.4,0.625,45.8,0.70%,12.22707424,0.31,2.127292656,,
22.34441642,0.4,0.625,47.2,0.70%,11.86440678,0.31,1.779019079,,
22.34441642,0.4,0.625,40.3,0.70%,13.89578164,0.5,1.967275066,,
22.34441642,0.4,0.625,40.7,0.70%,13.75921376,1,2.230833449,,
22.34441642,0.4,0.625,39.7,0.70%,14.10579345,1.5,2.315548643,,
22.34441642,0.4,0.625,47.8,0.70%,11.71548117,2,2.579107025,,
33.18429885,0.4,0.625,46.9,1.11%,11.94029851,0.31,1.507904207,,
15.26411534,0.4,0.625,46.1,0.43%,12.14750542,0.31,2.852166671,,
13.17220821,0.5,0.625,48.4,0.35%,11.57024793,0.31,2.814222019,,
22.34441642,0.3,0.625,37.6,0.70%,14.89361702,0.31,1.788431879,,
22.34441642,0.4,0.625,60.6,0.70%,9.240924092,0.31,1.882559872,,
40.68883284,0.4,0.625,41.4,0.70%,13.52657005,0.31,1.349127805,,
31.51662463,0.4,0.625,39.8,0.70%,14.07035176,0.31,1.247928564,,
14.25641026,0.4,0.625,29.6 ,1.49%,16.92567568,0,2.711676812,,
14.25641026,0.4,0.625,30.0 ,1.49%,16.7,0.45,2.933038185,,
14.25641026,0.4,0.625,24.6 ,1.49%,20.36585366,1,2.983766833,,
11.27272727,0.4,0.625,31.4 ,1.59%,15.95541401,0,2.692082111,,
11.27272727,0.4,0.625,31.4 ,1.59%,15.95541401,0.45,3.105571848,,
11.27272727,0.4,0.625,31.8 ,1.59%,15.75471698,0.8,3.17888563,,
11.27272727,0.4,0.625,29.1 ,1.59%,17.21649485,1,3.190615836,,
11.27272727,0.4,0.625,29.2 ,1.59%,17.15753425,2,3.944281525,,
12.25688073,0.5,1.25,30.0 ,1.11%,14.46666667,0,2.101301983,,
12.25688073,0.5,1.25,30.0 ,2.15%,14.46666667,0,2.396582981,,
12.25688073,0.5,1.25,41.5 ,1.11%,10.45783133,0.5,2.897873977,,
12.25688073,0.5,1.25,41.5 ,2.15%,10.45783133,0.5,3.007745976,,
6.764976959,0.116,0.0375,221.3 ,0.00%,0,2,5.043001705,,
7.448275862,0.116,0.0375,221.3 ,0.00%,0,2,4.677956342,,
5.886792453,0.116,0.0375,221.3 ,0.00%,0,2,5.889480338,,
7.0651341,0.116,0.0375,221.3 ,0.00%,0,2,4.727499583,,
6.362204724,0.116,0.0375,221.3 ,0.00%,0,2,5.123228777,,
6.120141343,0.116,0.0375,221.3 ,0.00%,0,2,4.951392148,,
5.320132013,0.116,0.0375,221.3 ,0.00%,0,2,5.660511669,,
10.66666667,0.23,0.0375,126.6,0.00%,0,1.5,4.394791667,,
9,0.23,0.0375,126.6,0.00%,0,1.5,4.795138889,,
8,0.23,0.0375,126.6,0.00%,0,1.5,5.947,,
7.333333333,0.23,0.0375,126.6,0.00%,0,1.5,6.090909091,,
9,0.23,0.0375,124.4,0.00%,0,1,4.975694444,,
9,0.23,0.0375,120.9,0.00%,0,0.5,3.495138889,,
12,0.4,1.25,21.6,0.73%,23.47222222,0,1.566666667,,
12,0.4,1.25,20,1.09%,25.35,0,1.683333333,,
12,0.4,1.25,74,1.49%,6.364864865,0,2.758333333,,
12,0.4,1.25,75,1.49%,6.28,0,3.091666667,,
12,0.4,1.25,63.7,2.26%,7.394034537,0,3.375,,
12,0.4,1.25,74.7,2.26%,6.305220884,0,4.075,,
12,0.4,1.25,19.6,0.73%,25.86734694,1,2.216666667,,
12,0.4,1.25,19.3,1.09%,26.26943005,1,2.041666667,,
12,0.4,1.25,81.3,1.49%,5.793357934,1,4.8,,
12,0.4,1.25,79.3,2.26%,5.939470366,1,5.758333333,,
13.09090909,0.5,0.59375,35.36,1.61%,18.9479638,0.5,3.531407828,,
13.09090909,0.34,0.59375,49.14,1.61%,13.63451363,0.5,4.044349747,,
13.09090909,0.32,0.59375,55.06,1.61%,12.16854341,0.5,5.109690657,,
13.09090909,0.28,0.59375,65.13,1.61%,10.28711807,0.5,5.56344697,,
13.09090909,0.34,0.59375,42.19,1.61%,15.88054041,0,3.681344697,,
13.09090909,0.34,0.59375,48.76,1.61%,13.74077112,0.25,3.866792929,,
13.09090909,0.34,0.59375,52.38,1.61%,12.79114166,0.75,4.951862374,,
13.09090909,0.34,0.59375,53.26,1.61%,12.57979722,1,5.445075758,,
13.09090909,0.34,0.59375,49.18,1.61%,13.62342416,0.5,3.866792929,,
13.09090909,0.34,0.59375,49.18,1.61%,13.62342416,0.5,3.945707071,,
13.09090909,0.34,0.59375,52.79,1.61%,12.69179769,0.5,4.636205808,,
13.09090909,0.34,0.59375,49.45,1.61%,13.54903943,0.5,4.340277778,,
10.81818182,0.34,0.59375,51.08,1.61%,13.11667972,0.5,4.225553858,,
17.63636364,0.34,0.59375,50.8,1.61%,13.18897638,0.5,3.953842549,,
6.75862069,0.5,0.625,44.9,0.49%,9.220489978,0,2.695285011,,
7.636363636,0.35,0.0375,69.6,0.65%,5.948275862,2,8.214285714,,
8,0.65,0.39375,23.1,1.51%,17.31601732,0,2.6796875,,
8,0.65,0.39375,24.4,1.51%,16.39344262,1,2.7265625,,
8,0.65,0.39375,28.1,1.51%,14.23487544,2,3.1953125,,
8,0.34,0.39375,57,1.51%,7.01754386,0,3.767578125,,
8,0.34,0.39375,59.7,1.51%,6.700167504,1,4.201171875,,
8,0.34,0.39375,52.4,1.51%,7.633587786,2,4.61328125,,
8,0.34,0.39375,43.7,1.51%,9.153318078,0,3.447265625,,
8,0.34,0.39375,36.6,1.51%,10.92896175,0.75,3.564453125,,
8,0.34,0.39375,46.1,1.51%,8.676789588,1.5,4.119140625,,
6.857142857,0.2,0.0375,194,0,0,2,6.508928571,,
9,0.2,0.0375,194,0,0,2,5.416666667,,
12,0.4,1.25,17.44,0.98%,22.93577982,0,2.125,,
12,0.4,1.25,19.68,0.98%,20.32520325,1,2.416666667,,
12,0.4,1.25,20.16,0.98%,19.84126984,1.5,2.625,,
12,0.4,1.25,15.04,0.98%,26.59574468,1,2.375,,
12,0.4,1.25,14.88,0.98%,26.88172043,1.5,2.583333333,,
8.787401575,0.4,0.8125,47.7,0.98%,9.874213836,0,3.055061666,,
8.787401575,0.4,0.8125,47.7,0.66%,9.874213836,0,2.674060904,,
8.787401575,0.49,0.8125,25.4,0.98%,17.91338583,1,2.723449891,,
8.787401575,0.49,0.8125,25.4,0.66%,17.91338583,1,2.7446166,,
8.787401575,0.49,0.8125,59.3,0.98%,7.942664418,1.5,3.739451923,,
8.787401575,0.49,0.8125,57.9,0.66%,8.134715026,1.5,3.132672932,,
8.787401575,0.49,0.8125,31,0.98%,14.48387097,1.5,3.683007366,,
8.787401575,0.49,0.8125,31,0.66%,14.48387097,1.5,3.330228883,,
8.787401575,0.49,0.8125,46.1,0.98%,9.739696312,1.5,3.739451923,,
8.787401575,0.48,0.8125,59.1,0.66%,7.597292724,1.5,3.548951542,,
12.01424755,0.4,1.25,35.3,1.34%,18.86685552,0,1.854599896,,
12.01424755,0.4,1.25,30.8,1.34%,21.62337662,0.5,1.953599891,,
9.714285714,0.57,1.25,24.6,0.85%,15.32520325,0.67,2.888655462,,
7.636363636,0.57,1.25,24.6,0.54%,15.32520325,0.67,2.274891775,,
6.666666667,0.57,1.25,24.6,0.40%,15.32520325,0.67,1.984,,
10.15384615,0.53,1.25,42.4,0.91%,8.891509434,0.72,3.282051282,,
7.80952381,0.53,1.25,42.4,0.57%,8.891509434,0.72,2.476190476,,
6.75862069,0.53,1.25,42.4,0.41%,8.891509434,0.72,2.045742435,,
10.15384615,0.53,1.25,21.6,0.91%,17.4537037,0.91,2.815850816,,
7.80952381,0.53,1.25,21.6,0.57%,17.4537037,0.91,2.12659698,,
6.75862069,0.53,1.25,21.6,0.41%,17.4537037,0.91,1.627023223,,
9.714285714,0.57,1.25,27.8,0.85%,13.56115108,0.63,3.199579832,,
9.714285714,0.57,1.25,31.1,0.85%,12.1221865,0.94,3.107142857,,
9.714285714,0.57,1.25,30.4,0.85%,12.40131579,1.03,3.338235294,,
11.61904762,0.4,1.375,21.68,0.83%,22.69372694,0,2.217017955,,
11.61904762,0.4,1.375,22.32,0.83%,22.04301075,0.38,2.576112412,,
11.61904762,0.4,1.375,23.36,0.83%,21.06164384,0.57,2.693208431,,
11.61904762,0.4,1.375,25.28,0.83%,19.46202532,0.76,3.099141296,,
11.61904762,0.4,1.375,21.68,0.83%,22.69372694,0,2.349726776,,
11.61904762,0.4,1.375,22.32,0.83%,22.04301075,0.38,2.56049961,,
11.61904762,0.4,1.375,23.36,0.83%,21.06164384,0.57,2.630757221,,
11.61904762,0.4,1.375,25.28,0.83%,19.46202532,0.76,2.708821233,,
11.61904762,0.4,1.375,21.68,0.83%,22.69372694,0,2.06088993,,
11.61904762,0.4,1.375,22.32,0.83%,22.04301075,0.38,2.396565183,,
11.61904762,0.4,1.375,23.36,0.83%,21.06164384,0.57,2.419984387,,
11.61904762,0.4,1.375,25.28,0.83%,19.46202532,0.76,2.544886807,,
9.263157895,0.45,0.3125,37.5,0.37%,10.53333333,0,3.924940191,,
7.50877193,0.45,0.3125,37.5,0.32%,11.6,0,2.766847024,,
9.263157895,0.45,0.3125,37.5,0.74%,10.53333333,0,4.298744019,,
7.50877193,0.45,0.3125,37.5,0.64%,11.6,0,4.426955239,,
9.263157895,0.144,0.0375,75,0.74%,5.266666667,0,6.05562201,,
9.263157895,0.144,0.0375,75,0.37%,5.266666667,0,5.457535885,,
7.50877193,0.144,0.0375,75,0.64%,5.8,0,6.148548942,,
7.50877193,0.144,0.0375,75,0.32%,5.8,0,4.30398426,,
7.50877193,0.144,0.0375,100.8,0.32%,4.31547619,1,5.943597311,,
7.50877193,0.144,0.0375,100.8,0.64%,4.31547619,1,7.583210362,,
9.263157895,0.144,0.0375,100.8,0.74%,3.918650794,1,7.326555024,,
9.263157895,0.144,0.0375,100.8,0.37%,3.918650794,1,6.354665072,,
7.50877193,0.144,0.0375,118,0.64%,3.686440678,2,10.04262994,,
9.263157895,0.144,0.0375,118,0.74%,3.347457627,2,10.27960526,,
9.263157895,0.144,0.0375,118,0.37%,3.347457627,2,7.102272727,,
7.50877193,0.144,0.0375,118,0.32%,3.686440678,2,7.788161994,,
7.50877193,0.144,0.3125,105.3,0.64%,4.131054131,2,9.222823414,,
7.50877193,0.144,0.3125,105.3,0.32%,4.131054131,2,6.599442532,,
9.263157895,0.144,0.3125,105.3,0.74%,3.751187085,2,9.718899522,,
9.263157895,0.144,0.3125,105.3,0.37%,3.751187085,2,6.429425837,,
14.66666667,0.4,1.25,50.8,1.05%,10.23622047,0,2.660606061,,
14.66666667,0.4,1.25,48.4,1.05%,10.74380165,0,2.509090909,,
14.66666667,0.4,1.25,48.4,1.05%,10.74380165,0.5,3.651515152,,
14.66666667,0.4,1.25,48.4,1.05%,10.74380165,0.5,3.254545455,,
9.095541401,0.175,0.0375,198.5,2.01%,6.649874055,0,3.757426537,,
9.095541401,0.175,0.0375,198.9,2.01%,6.636500754,0.5,4.792235365,,
9.095541401,0.175,0.0375,208.2,2.01%,6.340057637,1.1,6.860068868,,
9.063291139,0.61,1,40.3,1.99%,13.94540943,0,2.993069797,,
9.095541401,0.175,0.0375,198.9,1.00%,6.636500754,0.5,4.422915663,,
15.11111111,0.175,0.0375,199.2,1.99%,7.881526104,0.5,6.326593137,,
9.063291139,0.175,0.0375,198.2,1.99%,2.835519677,0.5,5.652004809,,
14.66666667,0.36,1,46.848,1.05%,11.09972678,0.38,2.612121212,,
14.66666667,0.35,0.25,42.216,1.05%,12.3176047,0.38,4.103030303,,
9.424777961,0.21,0.0375,97.8,2.83%,4.08997955,0.8,8.085071109,,
9.424777961,0.21,0.0375,98.5,2.83%,4.060913706,0.8,7.17987737,,
9.424777961,0.21,0.0375,87.8,2.83%,4.555808656,0.8,8.3423716,,
9.424777961,0.21,0.0375,99,2.83%,4.04040404,1.6,9.784713272,,
9.424777961,0.21,0.0375,86.8,2.83%,4.608294931,1.6,11.20052912,,
9.424777961,0.21,0.0375,96.5,2.83%,4.14507772,1.6,9.484971463,,
9.424777961,0.21,0.0375,91.4,2.83%,4.376367615,0,5.789924201,,
5.470588235,0.45,0.8,54.96,0.76%,9.716157205,0,3.804949399,,
5.5625,0.45,0.8,55.68,1.50%,9.500718391,0,5.574087079,,
5.481481481,0.45,0.8,47.36,0.76%,11.27533784,1,5.955955956,,
5.5625,0.45,0.8,45.36,1.50%,11.6622575,1,7.39554073,,
5.5625,0.45,0.8,46.08,1.50%,11.48003472,1.5,7.768609551,,
10.83760684,0.4,1.25,80,0.92%,7.3125,0,2.57286527,,
10.83760684,0.4,1.25,89,0.92%,6.573033708,0.3,3.107390331,,
10.83760684,0.4,1.25,87,0.92%,6.724137931,0.6,3.747741918,,
10.83760684,0.4,1.25,90,0.92%,6.5,0.9,4.570088166,,
10.83760684,0.4,1.25,100,0.92%,5.85,1.2,4.927336946,,
11.01754386,0.4,1.25,80,1.47%,7.1875,0,2.66999106,,
11.01754386,0.4,1.25,89,1.47%,6.460674157,0.3,3.254553581,,
11.01754386,0.4,1.25,87,1.47%,6.609195402,0.6,4.099620069,,
11.01754386,0.4,1.25,90,1.47%,6.388888889,0.9,5.629120572,,
11.01754386,0.4,1.25,100,1.47%,5.75,1.2,6.823388088,,
10.4,0.54,1.25,24,1.19%,16.66666667,0,1.692307692,,
10.4,0.54,1.25,24,1.19%,16.66666667,0.5,1.846153846,,
10.4,0.54,1.25,24,1.19%,16.66666667,1,1.969230769,,
10.4,0.54,1.25,24,1.19%,16.66666667,1.5,2.461538462,,
10.4,0.54,1.25,24,1.19%,16.66666667,0.5,2.061538462,,
10.4,0.54,1.25,24,1.19%,16.66666667,1,2.153846154,,
10.4,0.54,1.25,24,1.19%,16.66666667,1.5,2.307692308,,
10.4,0.54,1.25,24,1.19%,16.66666667,0.5,2.123076923,,
