,,,,"Basic parameters (12, without feature selection)",,,,,,,,,,,,Target,,
Group No,Year,Group,Specimen No,a/d,b0/d,w/b,d_g/d_g0,f_c',p,f_y/f_c,V_f,k_f,r_f,a_f,F,t_p,,
,,,S-07,9.375,9.424777961,0.21,0.0375,96.5,2.83%,4.14507772,1.6,0.4,1,65.0 ,41.6 ,9.484971463,,
,,,S-08,9.375,9.424777961,0.21,0.0375,91.4,2.83%,4.376367615,0,0,0,0.0 ,0.0 ,5.789924201,,
25,2017,Gouveia,F0_R0.75,7.352941176,5.470588235,0.45,0.8,54.96,0.76%,9.716157205,0,0,0,0.0 ,0.0 ,3.804949399,,
,,,F0_R1.5,7.8125,5.5625,0.45,0.8,55.68,1.50%,9.500718391,0,0,0,0.0 ,0.0 ,5.574087079,,
,,,F1_R0.75,7.407407407,5.481481481,0.45,0.8,47.36,0.76%,11.27533784,1,0.4,1,63.6 ,25.5 ,5.955955956,,
,,,F1_R1.5,7.8125,5.5625,0.45,0.8,45.36,1.50%,11.6622575,1,0.4,1,63.6 ,25.5 ,7.39554073,,
,,,F1.5_R1.5,7.8125,5.5625,0.45,0.8,46.08,1.50%,11.48003472,1.5,0.4,1,63.6 ,38.2 ,7.768609551,,
26,2018,Chanthabouala,F09-00,7.692307692,10.83760684,0.4,1.25,80,0.92%,7.3125,0,0,1,0.0 ,0.0 ,2.57286527,,
,,,F09-03,7.692307692,10.83760684,0.4,1.25,89,0.92%,6.573033708,0.3,1,1,66.7 ,20.0 ,3.107390331,,
,,,F09-06,7.692307692,10.83760684,0.4,1.25,87,0.92%,6.724137931,0.6,1,1,66.7 ,40.0 ,3.747741918,,
,,,F09-09,7.692307692,10.83760684,0.4,1.25,90,0.92%,6.5,0.9,1,1,66.7 ,60.0 ,4.570088166,,
,,,F09-12,7.692307692,10.83760684,0.4,1.25,100,0.92%,5.85,1.2,1,1,66.7 ,80.0 ,4.927336946,,
,,,F14-00,7.894736842,11.01754386,0.4,1.25,80,1.47%,7.1875,0,0,1,0.0 ,0.0 ,2.66999106,,
,,,F14-03,7.894736842,11.01754386,0.4,1.25,89,1.47%,6.460674157,0.3,1,1,66.7 ,20.0 ,3.254553581,,
,,,F14-06,7.894736842,11.01754386,0.4,1.25,87,1.47%,6.609195402,0.6,1,1,66.7 ,40.0 ,4.099620069,,
,,,F14-09,7.894736842,11.01754386,0.4,1.25,90,1.47%,6.388888889,0.9,1,1,66.7 ,60.0 ,5.629120572,,
,,,F14-12,7.894736842,11.01754386,0.4,1.25,100,1.47%,5.75,1.2,1,1,66.7 ,80.0 ,6.823388088,,
27,2018,Abdel-Rahman,A1,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,0,0,0,0.0 ,0.0 ,1.692307692,,
,,,B1,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,0.5,0.6,0.28125,80.6 ,24.2 ,1.846153846,,
,,,B2,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1,0.6,0.28125,80.6 ,48.4 ,1.969230769,,
,,,B3,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1.5,0.6,0.28125,80.6 ,72.6 ,2.461538462,,
,,,C1,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,0.5,0.6,0.4375,80.6 ,24.2 ,2.061538462,,
,,,C2,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1,0.6,0.4375,80.6 ,48.4 ,2.153846154,,
,,,C3,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1.5,0.6,0.4375,80.6 ,72.6 ,2.307692308,,
,,,D1,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,0.5,0.6,0.59375,80.6 ,24.2 ,2.123076923,,
,,,D2,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1,0.6,0.59375,80.6 ,48.4 ,2.270769231,,
,,,D3,6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1.5,0.6,0.59375,80.6 ,72.6 ,2.369230769,,
28,2019,Landler and Fischer,M0-25,5.853658537,9.853658537,0.4,1.25,47.8,1.23%,10.94142259,0,0,0,0.0 ,0.0 ,2.825404492,,
,,,M1-25,5.853658537,9.853658537,0.4,1.25,48.1,1.23%,10.87318087,0.5,0.8,1,66.7 ,26.7 ,3.366336634,,
,,,M2-25,5.853658537,9.853658537,0.4,1.25,39.8,1.23%,13.14070352,0.5,1,1,66.7 ,33.3 ,3.248007728,,
,,,M3-25,5.853658537,9.853658537,0.4,1.25,48.1,1.23%,10.87318087,1,1,1,66.7 ,66.7 ,4.201883603,,
,,,M0-25,4.705882353,8.705882353,0.4,1.25,48.2,1.23%,10.85062241,0,0,0,0.0 ,0.0 ,2.895248189,,
,,,M1-25,4.705882353,8.705882353,0.4,1.25,48.9,1.23%,10.69529652,0.5,0.8,1,66.7 ,26.7 ,3.501148207,,
,,,M2-25,4.705882353,8.705882353,0.4,1.25,40.3,1.23%,12.97766749,0.5,1,1,66.7 ,33.3 ,3.137254902,,
,,,M3-25,4.705882353,8.705882353,0.4,1.25,47,1.23%,11.12765957,1,1,1,66.7 ,66.7 ,4.091149974,,
29,2020,Kadhum,S1,5.897435897,11.17948718,0.175,0.0375,116.48,0.67%,4.593063187,1,0.4,1,65.0 ,26.0 ,7.645259939,,
,,,S2,5.897435897,11.17948718,0.175,0.0375,122.56,0.67%,4.365208877,1.5,0.4,1,65.0 ,39.0 ,8.233356857,,
,,,S3,5.897435897,11.17948718,0.175,0.0375,130.24,0.67%,4.107800983,2,0.4,1,65.0 ,52.0 ,8.586215008,,
,,,N1,5.897435897,11.17948718,0.35,0.296875,38.4,0.67%,13.93229167,0,0,0,0.0 ,0.0 ,4.275464597,,
30,2020,Shoukry,S1,6.849315068,9.479452055,0.45,1.25,48.5,1.76%,8.24742268,0,0,0,0.0 ,0.0 ,3.994773933,,
,,,S2,6.849315068,9.479452055,0.45,1.25,47.2,1.76%,8.474576271,1,0.8,1,50.0 ,40.0 ,4.964763639,,
,,,S3,6.849315068,9.479452055,0.173,0.0375,115.8,1.76%,3.454231434,0,0,0,0.0 ,0.0 ,4.574788186,,
,,,S4,6.849315068,9.479452055,0.173,0.0375,122.6,1.76%,3.262642741,1,0.8,1,50.0 ,40.0 ,5.616042442,,
,,,S5,6.849315068,9.479452055,0.173,0.0375,127,1.76%,3.149606299,2,0.8,1,50.0 ,80.0 ,7.356085201,,
,,,S6,6.849315068,9.479452055,0.173,0.0375,125.6,1.76%,3.184713376,3,0.8,1,50.0 ,120.0 ,7.607490696,,
,,,S7,6.849315068,9.479452055,0.173,0.0375,127,1.76%,3.149606299,1,0.8,1,50.0 ,40.0 ,7.007680735,,
,,,S8,6.849315068,9.479452055,0.173,0.0375,119,1.76%,3.361344538,1,0.6,1,50.0 ,30.0 ,5.437881067,,
